Aga,
Alem,
Amado,
Aurora,
Cabatacan,
Cacalaggan,
Capannikian,
Doña Loreta,
Emilia,
Imelda,
Lower Maton,
Lt. Balag,
Lydia,
Malibang,
Mataguisi,
Poblacion,
San Antonio,
San Jose,
San Luis,
San Mariano,
Swan,
Upper Maton
