Allangigan,
Banban,
Buluan,
Caglayan (New Poblacion),
Calafug,
Cupis,
Daga,
Guinaang,
Guinamgaman,
Ili,
Karikitan,
Katablangan,
Malama,
Manag,
Mawegui,
Nabuangan,
Paddaoan,
Puguin,
Ripang (Old Poblacion),
Sacpil,
Talifugo
