Cayanga,
Anonang,
Sagud-Bahley,
Tempra-Guilig,
Poblacion,
Nibaliw Vidal,
Tocok,
Angio,
Aramal,
Bolasi,
Mabilao,
Lekep-Butao,
Longos,
Sobol,
Longos-Amangonan-Parac-Parac (Fabrica),
Nibaliw East,
Nibaliw Narvarte (Nibaliw West Compound),
Binday,
Rabon,
Longos Proper,
Nibaliw Magliba,
Lipit-Tomeeng,
Ambalangan-Dalin,
Palapad,
Inmalog,
Alacan,
Cabaruan,
Inmalog Norte,
Tiblong,
Bolaoen,
Bigbiga,
Nibaliw Central,
Colisao,
Gomot
