Arnedo,
Balingasay,
Binabalian,
Cabuyao,
Catuday,
Catungi,
Concordia (Poblacion),
Culang,
Dewey,
Estanza,
Germinal (Poblacion),
Goyoden,
Ilog-Malino,
Lambes,
Liwa-liwa,
Lucero,
Luciente 1.0 (J.Celeste),
Luciente 2.0,
Luna,
Patar,
Pilar,
Salud,
Samang Norte,
Samang Sur,
Sampaloc,
San Roque,
Tara,
Tupa,
Victory,
Zaragoza
