Alipangpang,
Amagbagan,
Balacag,
Banding,
Bantugan,
Batakil,
Bobonan,
Buneg,
Cablong,
Casanfernandoan,
Castaño,
Dilan,
Don Benito,
Haway,
Imbalbalatong,
Inoman,
Laoac,
Maambal,
Malasin,
Malokiat,
Manaol,
Nama,
Nantangalan,
Palacpalac,
Palguyod,
Poblacion District I,
Poblacion District II,
Poblacion District III,
Poblacion District IV,
Rosario,
Sugcong,
Talogtog,
Tulnac,
Villegas
