Alibago,
Balingueo,
Banaoang,
Banzal,
Botao,
Cablong,
Carusocan,
Dalongue,
Erfe,
Gueguesangen,
Leet,
Malanay,
Maningding,
Maronong,
Maticmatic,
Minien East,
Minien West,
Nilombot,
Patayac,
Payas,
Tebag West,
Tebag East,
Poblacion Norte,
Poblacion Sur,
Sapang,
Sonquil,
Tuliao,
Ventinilla (Ventinilla West),
Primicias (Ventinilla East)
