Anis,
Balligi,
Banuar,
Botigue,
Caaringayan,
Domingo Alarcio,
Cabilaoan,
Cabulalaan,
Calaoagan,
Calmay,
Casampagaan,
Casanestebanan,
Casantiagoan,
Inmanduyan,
Poblacion,
Lebueg,
Maraboc,
Nanbagatan,
Panaga,
Talogtog,
Turko,
Yatyat
