Bal-loy,
Bantog,
Caboluan,
Cal-litang,
Capandanan,
Cauplasan,
Dalayap,
Libsong,
Namagbagan,
Paitan,
Pataquid,
Pilar,
Poblacion East,
Poblacion West,
Pugot,
Samon,
San Alejandro,
San Mariano,
San Pablo,
San Patricio,
San Vicente,
Santa Cruz,
Santa Rosa
