Awile,
Awag,
Batiarao,
Cabungan,
Carot,
Dolaoan,
Imbo,
Macaleeng,
Macando-candong,
Mal-ong,
Namagbagan,
Poblacion,
Roxas,
Sablig,
San Jose,
Siapar,
Tondol,
Tori-tori
