Bayaoas,
Baybay,
Bocacliw,
Bocboc East,
Bocboc West,
Buer,
Calsib,
Niñoy,
Poblacion,
Pogomboa,
Pogonsili,
San Jose,
Tampac,
Laoag,
Manlocboc,
Panacol
