Ambonao,
Ambuetel macanlalay,
Banaoang,
Bued,
Buenlag,
Cabilocaan,
Dinalaoan,
Doyong,
Gabon,
Lasip,
Longos,
Lumbang,
Macabito,
Malabago,
Mancup,
Nagsaing,
Nalsian,
Poblacion East,
Poblacion West,
Quesban,
San Miguel,
San Vicente,
Songkoy,
Talibaew
