Angatel,
Balangay,
Batangcaoa,
Baug,
Bayaoas,
Bituag,
Camambugan,
Dalanguiring,
Duplac,
Galarin,
Gueteb,
Malaca,
Malayo,
Malibong,
Pasibi East,
Pasibi West,
Pisuac,
Poblacion,
Real,
Salavante,
Sawat
