Alab Proper,
Alab Oriente,
Balili,
Bay-yo,
Bontoc Ili,
Caluttit,
Can-eo,
Dalican,
Gonogon,
Guinaang,
Mainit,
Maligcong,
Samoki,
Talubin,
Tocucan,
Poblacion
