Abatan,
Bagnen Oriente,
Bagnen Proper,
Balintaugan,
Banao,
Bila,
Guinzadan Central,
Guinzadan Norte,
Guinzadan Sur,
Lagawa,
Leseb,
Mabaay,
Mayag,
Monamon Norte,
Monamon Sur,
Mount Data,
Otucan Norte,
Otucan Sur,
Poblacion,
Sadsadan,
Sinto,
Tapapan
