Abogado,
Acocolao,
Aduas,
Apulid,
Balaoang,
Barang,
Brillante,
Burgos,
Cabayaoasan,
Canan,
Cariño,
Cayanga,
Colibangbang,
Coral,
Dapdap,
Estacion,
Mabilang,
Manaois,
Matalapitap,
Nagmisaan,
Nancamarinan,
Nipaco,
Patalan,
Poblacion Norte,
Poblacion Sur,
Rang-ayan,
Salomague,
Samput,
San Carlos,
San Isidro,
San Juan de Milla,
Santa Ines,
Sinigpit,
Tablang,
Ventenilla
