Alas‑asin,
Alion,
Balon‑Anito,
Baseco Country,
Batangas II,
Biaan,
Cabcaben,
Camaya,
Ipag,
Lucanin,
Malaya,
Maligaya,
Mt. View,
Poblacion,
San Carlos,
San Isidro,
Sisiman,
Townsite
