Atilano L. Ricardo,
Bagumbayan,
Banawang,
Binuangan,
Binukawan,
Ibaba,
Ibis,
Pag‑asa,
Parang,
Paysawan,
Quinawan,
San Antonio,
Saysain,
Tabing‑Ilog
