Babancal,
Binabalian,
Catol,
Dampay,
Lauis,
Libertador,
Malabon (San Roque),
Malimanga,
Pamibian,
Panayonan,
Pinagrealan,
Poblacion,
Sinabacan,
Taposo,
Uacon,
Yamot
