Saud,
Caparispisan,
Subec,
Aggasi,
Saguigui,
Baduang,
Burayoc,
Dampig,
Tarrag,
Ligaya,
Caunayan,
Balaoi,
Pancian,
Pasaleng,
Uno 1,
Poblacion 2
