Aguitap,
Bagbag,
Bagbago,
Barcelona,
Bubuos,
Capurictan,
Catangraran,
Darasdas,
Juan (Poblacion),
Laureta (Poblacion),
Lipay,
Maananteng,
Manalpac,
Mariquet,
Nagpatpatan,
Nalasin,
Puttao,
San Juan,
San Julian,
Santa Ana,
Santiago,
Talugtog
