Bani,
Buyon,
Cabaruan,
Cabulalaan,
Cabusligan,
Cadaratan,
CalioetLibong,
ACasilian,
Corocor,
Duripes,
Ganagan,
Libtong,
Macupit,
Nambaran,
Natba,
Paninaan,
Pasiocan,
Pasngal,
Pipias,
Pulangi,
Pungto,
San Agustin 1,
San Agustin 2,
San Andres 1,
San Andres 2,
San Gabriel 1,
San Gabriel 2,
San Pedro 1,
San Pedro 2,
San Roque 1,
San Roque 2,
San Simon 1,
San Simon 2,
San Vicente,
Sangil,
Santa Filomena 1,
Santa Filomena 2,
Santa Rita,
Santo Cristo 1,
Santo Cristo 2,
Tambidao,
Teppang,
Tubburan
