Batuli (San Isidro),
Binsang,
Nalvo,
Caruan (Tulnagan),
Carusikis,
Carusipan,
Dadaeman,
Darupidip,
Davila,
Dilanis,
Dilavo,
Estancia,
Naglicuan,
Nagsanga,
Ngabangab,
Pangil,
Poblacion 1,
Poblacion 2,
Poblacion 3,
Poblacion 4,
Pragata (Pragata-Bungro),
Puyupuyan,
Sulongan,
Salpad (Salpad-Calumbuyan),
San Juan,
Santa Catalina,
Santa Matilde,
Sapat,
Sulbec,
Surong,
Susugaen (Cababaan-Surgui),
Tabungao,
Tadao
