Ab-abut,
Abucay,
Anao (Poblacion),
Arua-ay,
Bimmanga,
Boyboy,
Cabaroan (Poblacion),
Calambeg,
Calluza,
Dupitac,
Estancia,
Gayamat,
Lagandit,
Libnaoan,
Loing (Poblacion),
Maab-abaca,
Mangitayag,
Maruaya,
San Antonio,
Santa Maria,
Sucsuquen,
Tangaoan,
Tonoton
