Albano,
Bacsil,
Bagut,
Baresbes,
Barong,
Bungcag,
Cali,
Capasan,
Dancel,
Foz,
Guerrero,
Lanas,
Lumbad,
Madamba,
Mandaloque,
Medina,
Parado (Bangay),
Peralta,
Puruganan,
Root (Baldias),
Sagpatan,
Saludares,
San Esteban,
San Marcelino (Padong),
Ver (Naglayaan)
