Pacifico (Agunit),
Imelda (Capariaan),
Elizabeth (Culao),
Daquioag,
Escoda,
Ferdinand,
Fortuna,
Lydia (Poblacion),
Mabuti,
Valdez (Biding),
Tabucbuc (Ragas),
Santiago,
Cacafean
