Ableg,
Bagtayan,
Balatoc,
Balinciagao Norte,
Balanciagao Sur,
Cagaluan,
Colayo,
Dalupa,
Dangtalan,
Galdang (Casaloan),
Guina-ang (Poblacion),
Magsilay,
Malucsad,
Pugong
