Anggacan,
Anggacan Sur,
Babbanoy,
Dacalan,
Dupligan,
Gaang,
Lay-yasan,
Lower Mangali,
Lower Lubo,
Lower Taloctoc,
Mabaca,
Mangali Centro,
Pangol,
Poblacion,
Upper Lubo,
Upper Taloctoc
