Aciga,
Allaguia,
Ammacian,
Apatan,
Asibanglan,
Ba-ay,
Ballayangon,
Bayao,
Camalog,
Cawagayan,
Dugpa,
Katabbogan,
Limos,
Magaogao,
Malagnat,
Mapaco,
Pakawit,
Pinococ,
Pinukpuk Junction -Center,
Socbot,
Taga,
Taggay,
Wagud
