Ambato-Legleg,
Bangad Centro,
Basao,
Belong Manubal,
Butbut-Proper,
Bugnay,
Buscalan,
Dananao,
Loccong,
Lower Bangad,
Luplupa,
Mallango,
Ngibat,
Old Tinglayan,
Poblacion,
Sumadel 1,
Sumadel 2,
Tulgao East,
Tulgao West,
Upper Bangad
