Ambasa,
Bimpal,
Hapid,
Holowon,
Lawig,
Lucban,
Mabatobato,
Magulon,
Nayon,
Panopdopan,
Payawan,
Pieza,
Poblacion East,
Poblacion West,
Pugol (Ifugao Reservation),
Salamague,
Sanafe,
Umilag
