Amganad,
Anaba,
Balawis,
Bangaan,
Batad,
Bocos,
Banao,
Cambulo,
Ducligan,
Gohang,
Kinakin,
Uhaj,
Poblacion,
Poitan,
Pula,
San Fernando,
Tam-an,
View Point
