Bangar,
Busilac,
Calimag,
Calupaan,
Caragasan,
Dolowog,
Kiling,
Laya,
Little Tadian,
Namnama,
Namillangan,
Ngileb,
Pinto,
Potia,
San Jose,
San Juan,
San Marcos,
San Quintin,
Santa Maria,
Santo Domingo
