Babo Pangulo,
Babo Sacan,
Balubad,
Calzadang Bayu,
Camias,
Cangatba,
Diaz,
Dolores,
Inararo,
Jalung,
Mancatian,
Manibaug Libutad,
Manibaug Paralaya,
Manibaug Pasig,
Manuali,
Mitla Proper,
Palat,
Pias,
Pio,
Planas,
Poblacion,
Pulung Santol,
Salu,
San Jose Mitla,
Santa Cruz,
Sapang Uwak,
Sepung Bulaun,
Siñura,
Villa Maria
