Atlu-Bola,
Bical,
Bundagul,
Cacutud,
Calumpang,
Camachiles,
Madapdap,
Dau,
Dolores,
Duquit,
Lakandula,
Mabiga,
Macapagal Village,
Mamatitan,
Mangalit,
Marcos Village,
Mawaque,
Paralayunan,
Poblacion,
San Francisco,
San Joaquin,
Santa Ines,
Santa Maria,
Santo Rosario,
Sapang Balen,
Sapang Biabas,
Tabun
