Alincaoeg,
Angkileng,
Arangin,
Ayusan,
Banbanaba,
Bao-as,
Barangobong,
Buliclic,
Burgos,
Cabaritan,
Catayagan,
Conconig East,
Conconig West,
Damacuag,
Lubong,
Luba,
Nagrebcan,
Nagtablaan,
Namatican,
Nangalisan,
Palali Norte,
Palali Sur,
Paoc Norte,
Paoc Sur,
Paratong,
Pila East,
Pila West,
Quinabalayangan,
Ronda,
Sabuanan,
San Juan,
San Pedro,
Sapang,
Suagayan,
Vical,
Bani
