Aggay,
An-annam,
Balaleng,
Banaoang,
Bulag,
Buquig,
Cabalanggan,
Cabaroan,
Cabusligan,
Capangdanan,
Guimod,
Lingsat,
Malingeb,
Mira,
Naguiddayan,
Ora,
Paing,
Puspus,
Quimmarayan,
Sagneb,
Sagpat,
San Mariano,
San Isidro,
San Julian,
Sinabaan,
Taguiporo,
Taleb,
Tay-ac,
Barangay 1,
Barangay 2,
Barangay 3,
Barangay 4,
Barangay 5,
Barangay 6
