Arnap,
Bahet,
Belen,
Bungro,
Busiing Sur,
Busiing Norte,
Dongalo,
Gongogong,
Iboy,
Kinamantirisan,
Otol-Patac,
Poblacion East,
Poblacion West,
Sagneb,
Sagsagat
