Anonang Mayor,
Anonang Menor,
Baggoc,
Callaguip,
Caparacadan,
Fuerte,
Luzong East,
Luzong West,
Manangat,
Naguilian,
Nansuagao,
Pandan,
Pantay-Quitiquit,
Don Dimas Querubin,
Puro,
Pantay-Tamurong,
Villamar,
Don Alejandro Quirolgico,
Don Lorenzo Querubin
