Banucal,
Bequi-Walin,
Bugui,
Calungbuyan,
Carcarabasa,
Labut,
Poblacion Norte (Namatting),
Poblacion Sur (Surong),
San Vicente (Kamatliwan),
Suysuyan,
Tay-ac
