Ag-agrao,
Ampuagan,
Baballasioan,
Baliw Daya (San Gelacio),
Baliw Laud (Simbuok),
Bia-o,
Butir,
Cabaroan,
Danuman East,
Danuman West,
Dunglayan,
Gusing,
Langaoan,
Laslasong Norte,
Laslasong Sur,
Laslasong West,
Lesseb,
Lingsat,
Lubong,
Maynganay Norte,
Maynganay Sur (San Ignacio),
Nagsayaoan,
Nagtupacan,
Nalvo,
Pacang,
Penned,
Poblacion Norte (San Gregorio),
Poblacion Sur (San Francisco),
Silag,
Sumagui,
Suso,
Tangaoan,
Tinaan
