Ambugat,
Balugang,
Bangbangar,
Bessang,
Cabcaburao,
Cadacad,
Callitong,
Dayanki,
Lesseb,
Lubing,
Lucaban,
Luna,
Macaoayan,
Mambug,
Manaboc,
Mapanit,
Poblacion Sur (Masingit),
Nagpanaoan,
Dirdirig (Dirdirig-Padayao),
Paduros,
Patac,
Poblacion Norte (Bato),
Sabangan Pinggan,
Subadi Norte,
Subadi Sur,
Taliao
