Aguing,
Ballaigui,
Baliw,
Baracbac,
Barikir,
Battog,
Binacud,
Cabangtalan,
Cabarambanan,
Cabulalaan,
Cadanglaan,
Calingayan,
Curtin,
Dadalaquiten Norte,
Dadalaquiten Sur,
Duyayyat,
Jordan,
Calanutian,
Katipunan,
Macabiag,
Magsaysay,
Marnay,
Masadag,
Nagcullooban,
Nagbalioartian,
Nagongburan,
Namnama,
Pacis,
Paratong,
Dean Leopoldo Yabes (Pug-os),
Purag,
Quibit-quibit,
Quimmallogong,
Rang-ay,
Ricudo,
Sabangan (Marcos),
Sallacapo,
Santa Cruz,
Sapriana,
Tapao,
Teppeng,
Tubigay,
Ubbog,
Zapat
