Bayaan,
Cabaroan,
Calumbaya,
Cardona,
Isit,
Kimmalaba,
Libtec,
Lub-lubba,
Mudiit,
Namit-ingan,
Pacac,
Poblacion,
Salucag,
Talogtog,
Taping
