Bolbolo,
Brookside,
Dalit,
Dintan,
Gapang,
Kinabiti,
Maliplipit,
Nagcanasan,
Nanangduan,
Narnara,
Ocup,
Pang-ot,
Patad,
Poblacion,
San Juan East,
San Juan West,
South Balioag,
Tikitik,
Villavieja
