Agtangao,
Angad,
Bañacao,
Bangbangar,
Cabuloan,
Calaba,
Cosili East,
Cosili West,
Dangdangla,
Lingtan,
Lipcan,
Lubong,
Macarcarmay,
Macray,
Malita,
Maoay,
Palao,
Patucannay,
Sagap,
San Antonio,
Santa Rosa,
Sao-atan,
Sappaac,
Tablac (Calot),
Zone 1 Poblacion (Nalasin),
Zone 2 Poblacion (Consiliman),
Zone 3 Poblacion (Lalaud),
Zone 4 Poblacion (Town Proper),
Zone 5 Poblacion (Bo. Barikir),
Zone 6 Poblacion (Sinapangan),
Zone 7 Poblacion (Baliling)
